employee_key,employee_id,first_name,last_name,email,department,role_family,job_level,manager_employee_id,location,compensation_band_percentile,engagement_score,valid_from,valid_to,is_current,change_reason
22,EMP_0011,Sandeep,Desai,sandeep.desai@company.com,Sales,Sales Manager,L1,EMP_0025,Mumbai Office,65.62,4,2023-05-28,2024-11-12,False,Hire
23,EMP_0011,Sandeep,Desai,sandeep.desai@company.com,Sales,Sales Manager,L2,EMP_0025,Mumbai Office,71.63,5,2024-11-13,,True,Promotion
24,EMP_0012,Shweta,Nayaka,shweta.nayaka@company.com,Finance,Financial Analyst,L1,EMP_0044,Hubballi Office,93.25,4,2024-11-25,2026-06-07,False,Hire
25,EMP_0012,Shweta,Nayaka,shweta.nayaka@company.com,Finance,Financial Analyst,L2,EMP_0044,Hubballi Office,99.0,5,2026-06-08,,True,Promotion
26,EMP_0013,Deepika,Patil,deepika.patil@company.com,Sales,Account Executive,L1,EMP_0040,Mumbai Office,94.92,3,2024-02-22,2025-08-18,False,Hire
27,EMP_0014,Roopa,Joshi,roopa.joshi@company.com,Sales,Business Development Rep,L1,EMP_0034,Bengaluru Office,68.25,3,2024-01-06,2025-07-15,False,Hire
28,EMP_0014,Roopa,Joshi,roopa.joshi@company.com,Sales,Business Development Rep,L2,EMP_0034,Bengaluru Office,76.88,4,2025-07-16,,True,Promotion
29,EMP_0015,Roopa,Patil,roopa.patil@company.com,Sales,Business Development Rep,L1,EMP_0006,Remote - India,37.97,3,2024-04-02,,True,Hire
30,EMP_0016,Anil,Kumbari,anil.kumbari@company.com,Customer Success,CS Manager,L1,EMP_0034,Hubballi Office,46.65,3,2023-02-23,2023-07-03,False,Hire
31,EMP_0017,Kavitha,Bhat,kavitha.bhat@company.com,HR,HR Associate,L1,EMP_0038,Remote - India,78.62,5,2023-08-15,2024-07-24,False,Hire
32,EMP_0017,Kavitha,Bhat,kavitha.bhat@company.com,HR,HR Associate,L2,EMP_0038,Remote - India,84.54,5,2024-07-25,,True,Promotion
33,EMP_0018,Kavitha,Shetty,kavitha.shetty@company.com,Marketing,Content Specialist,L1,EMP_0010,Hubballi Office,17.04,3,2022-07-26,2023-09-09,False,Hire
34,EMP_0018,Kavitha,Shetty,kavitha.shetty@company.com,Marketing,Content Specialist,L2,EMP_0010,Hubballi Office,30.77,2,2023-09-10,,True,Promotion
35,EMP_0019,Manjunath,Kulkarni,manjunath.kulkarni@company.com,Marketing,Marketing Manager,L1,EMP_0021,Hubballi Office,67.02,3,2024-03-05,2024-07-05,False,Hire
36,EMP_0020,Roopa,Kulkarni,roopa.kulkarni@company.com,Sales,Account Executive,L1,EMP_0024,Mumbai Office,81.06,3,2024-06-29,,True,Hire
37,EMP_0021,Vijay,Joshi,vijay.joshi@company.com,Customer Success,Support Engineer,L1,EMP_0034,Mumbai Office,44.13,5,2022-09-21,2024-02-15,False,Hire
38,EMP_0021,Vijay,Joshi,vijay.joshi@company.com,Customer Success,Support Engineer,L2,EMP_0034,Mumbai Office,52.97,4,2024-02-16,,True,Promotion
39,EMP_0022,Priyanka,Shetty,priyanka.shetty@company.com,Finance,Finance Controller,L1,EMP_0014,Bengaluru Office,55.51,2,2022-09-07,2023-09-13,False,Hire
40,EMP_0022,Priyanka,Shetty,priyanka.shetty@company.com,Finance,Finance Controller,L2,EMP_0014,Bengaluru Office,64.14,2,2023-09-14,,True,Promotion
41,EMP_0023,Vijay,Gowda,vijay.gowda@company.com,Engineering,QA Analyst,L1,EMP_0050,Remote - India,32.22,3,2022-01-20,2022-12-17,False,Hire
42,EMP_0023,Vijay,Gowda,vijay.gowda@company.com,Engineering,QA Analyst,L2,EMP_0050,Remote - India,41.77,3,2022-12-18,,True,Promotion
43,EMP_0024,Roopa,Bhat,roopa.bhat@company.com,Finance,Financial Analyst,L1,EMP_0023,Hubballi Office,46.96,4,2022-06-16,2023-06-13,False,Hire
44,EMP_0024,Roopa,Bhat,roopa.bhat@company.com,Finance,Financial Analyst,L2,EMP_0023,Hubballi Office,52.07,4,2023-06-14,,True,Promotion
45,EMP_0025,Vijay,Kulkarni,vijay.kulkarni@company.com,Marketing,Content Specialist,L1,EMP_0050,Hubballi Office,66.37,3,2024-10-31,2025-08-27,False,Hire
46,EMP_0025,Vijay,Kulkarni,vijay.kulkarni@company.com,Marketing,Content Specialist,L2,EMP_0050,Hubballi Office,73.45,3,2025-08-28,2026-07-31,False,Promotion
47,EMP_0025,Vijay,Kulkarni,vijay.kulkarni@company.com,Marketing,Content Specialist,L3,EMP_0050,Hubballi Office,85.99,3,2026-08-01,,True,Promotion
48,EMP_0026,Anil,Bhat,anil.bhat@company.com,Marketing,Content Specialist,L1,EMP_0034,Bengaluru Office,29.47,5,2022-08-30,2024-03-06,False,Hire
49,EMP_0026,Anil,Bhat,anil.bhat@company.com,Marketing,Content Specialist,L2,EMP_0034,Bengaluru Office,37.71,5,2024-03-07,2025-02-02,False,Promotion
50,EMP_0026,Anil,Bhat,anil.bhat@company.com,Marketing,Content Specialist,L3,EMP_0034,Bengaluru Office,43.13,4,2025-02-03,,True,Promotion
51,EMP_0027,Anil,Desai,anil.desai@company.com,Engineering,Software Engineer,L1,EMP_0016,Hubballi Office,50.38,4,2024-01-27,2024-10-20,False,Hire
52,EMP_0028,Anil,Patil,anil.patil@company.com,HR,HR Business Partner,L1,EMP_0025,Bengaluru Office,66.45,5,2024-02-17,2025-03-19,False,Hire
53,EMP_0028,Anil,Patil,anil.patil@company.com,HR,HR Business Partner,L2,EMP_0025,Bengaluru Office,75.83,4,2025-03-20,2026-05-03,False,Promotion
54,EMP_0028,Anil,Patil,anil.patil@company.com,HR,HR Business Partner,L3,EMP_0025,Bengaluru Office,89.71,3,2026-05-04,,True,Promotion
55,EMP_0029,Priyanka,Joshi,priyanka.joshi@company.com,HR,HR Associate,L1,EMP_0021,Remote - India,76.67,4,2021-08-04,2022-10-16,False,Hire
56,EMP_0029,Priyanka,Joshi,priyanka.joshi@company.com,HR,HR Associate,L2,EMP_0021,Remote - India,85.54,3,2022-10-17,2023-09-22,False,Promotion
57,EMP_0029,Priyanka,Joshi,priyanka.joshi@company.com,HR,HR Associate,L3,EMP_0021,Remote - India,98.38,3,2023-09-23,,True,Promotion
58,EMP_0030,Deepika,Shetty,deepika.shetty@company.com,HR,HR Associate,L1,EMP_0039,Bengaluru Office,79.28,2,2024-11-12,2025-10-21,False,Hire
59,EMP_0030,Deepika,Shetty,deepika.shetty@company.com,HR,HR Associate,L2,EMP_0039,Bengaluru Office,93.38,3,2025-10-22,2027-04-03,False,Promotion
60,EMP_0030,Deepika,Shetty,deepika.shetty@company.com,HR,HR Associate,L3,EMP_0039,Bengaluru Office,99.0,4,2027-04-04,,True,Promotion
61,EMP_0031,Manjunath,Bhat,manjunath.bhat@company.com,Sales,Sales Manager,L1,EMP_0015,Hubballi Office,19.61,5,2025-03-12,2026-07-04,False,Hire
62,EMP_0031,Manjunath,Bhat,manjunath.bhat@company.com,Sales,Sales Manager,L2,EMP_0015,Hubballi Office,28.72,5,2026-07-05,,True,Promotion
63,EMP_0032,Vijay,Patil,vijay.patil@company.com,HR,HR Business Partner,L1,EMP_0030,Bengaluru Office,41.59,5,2021-06-29,2022-12-14,False,Hire
64,EMP_0032,Vijay,Patil,vijay.patil@company.com,HR,HR Business Partner,L2,EMP_0030,Bengaluru Office,52.04,5,2022-12-15,,True,Promotion
65,EMP_0033,Priyanka,Kumbari,priyanka.kumbari@company.com,Marketing,Content Specialist,L1,EMP_0037,Hubballi Office,17.62,5,2024-03-22,,True,Hire
66,EMP_0034,Shweta,Nayaka,shweta.nayaka@company.com,HR,HR Business Partner,L1,EMP_0013,Bengaluru Office,41.3,5,2022-02-28,2022-08-18,False,Hire
67,EMP_0035,Kavitha,Bhat,kavitha.bhat@company.com,Engineering,QA Analyst,L1,EMP_0019,Bengaluru Office,80.03,2,2021-11-17,,True,Hire
68,EMP_0036,Vijay,Rao,vijay.rao@company.com,Marketing,Marketing Manager,L1,EMP_0007,Hubballi Office,86.39,5,2023-02-15,,True,Hire
69,EMP_0037,Manjunath,Kulkarni,manjunath.kulkarni@company.com,Engineering,Tech Lead,L1,EMP_0043,Mumbai Office,31.3,5,2024-02-21,2024-12-24,False,Hire
70,EMP_0037,Manjunath,Kulkarni,manjunath.kulkarni@company.com,Engineering,Tech Lead,L2,EMP_0043,Mumbai Office,43.01,5,2024-12-25,,True,Promotion
71,EMP_0038,Priyanka,Shetty,priyanka.shetty@company.com,HR,HR Associate,L1,EMP_0015,Bengaluru Office,32.17,3,2023-08-21,,True,Hire
72,EMP_0039,Sandeep,Kulkarni,sandeep.kulkarni@company.com,Customer Success,CS Manager,L1,EMP_0016,Remote - India,41.39,3,2022-11-07,2023-11-06,False,Hire
73,EMP_0039,Sandeep,Kulkarni,sandeep.kulkarni@company.com,Customer Success,CS Manager,L2,EMP_0016,Remote - India,53.12,3,2023-11-07,,True,Promotion
74,EMP_0040,Kavitha,Bhat,kavitha.bhat@company.com,Customer Success,CS Manager,L1,EMP_0034,Mumbai Office,79.11,4,2023-03-24,2025-02-26,False,Hire
75,EMP_0041,Deepika,Rao,deepika.rao@company.com,Marketing,Marketing Manager,L1,EMP_0013,Mumbai Office,65.86,3,2024-01-12,2025-06-28,False,Hire
76,EMP_0041,Deepika,Rao,deepika.rao@company.com,Marketing,Marketing Manager,L2,EMP_0013,Mumbai Office,71.02,3,2025-06-29,2026-06-17,False,Promotion
77,EMP_0041,Deepika,Rao,deepika.rao@company.com,Marketing,Marketing Manager,L3,EMP_0013,Mumbai Office,83.43,4,2026-06-18,,True,Promotion
78,EMP_0042,Manjunath,Shetty,manjunath.shetty@company.com,Customer Success,CS Manager,L1,EMP_0043,Mumbai Office,86.65,3,2025-06-05,2027-01-12,False,Hire
79,EMP_0042,Manjunath,Shetty,manjunath.shetty@company.com,Customer Success,CS Manager,L2,EMP_0043,Mumbai Office,99.0,4,2027-01-13,,True,Promotion
80,EMP_0043,Anil,Patil,anil.patil@company.com,HR,Talent Acquisition Specialist,L1,EMP_0023,Bengaluru Office,63.18,2,2023-03-21,,True,Hire
81,EMP_0044,Vijay,Desai,vijay.desai@company.com,Finance,Accountant,L1,EMP_0039,Hubballi Office,27.36,5,2025-02-20,2026-07-17,False,Hire
82,EMP_0044,Vijay,Desai,vijay.desai@company.com,Finance,Accountant,L2,EMP_0039,Hubballi Office,32.4,5,2026-07-18,2027-07-08,False,Promotion
83,EMP_0044,Vijay,Desai,vijay.desai@company.com,Finance,Accountant,L3,EMP_0039,Hubballi Office,41.01,5,2027-07-09,,True,Promotion
84,EMP_0045,Anil,Rao,anil.rao@company.com,Marketing,SEO Executive,L1,EMP_0036,Mumbai Office,18.79,5,2023-03-12,2024-01-25,False,Hire
85,EMP_0045,Anil,Rao,anil.rao@company.com,Marketing,SEO Executive,L2,EMP_0036,Mumbai Office,32.24,4,2024-01-26,2025-09-12,False,Promotion
86,EMP_0045,Anil,Rao,anil.rao@company.com,Marketing,SEO Executive,L3,EMP_0036,Mumbai Office,44.43,5,2025-09-13,,True,Promotion
87,EMP_0046,Shweta,Kulkarni,shweta.kulkarni@company.com,Engineering,Tech Lead,L1,EMP_0033,Remote - India,94.82,4,2024-04-05,2024-10-11,False,Hire
88,EMP_0047,Karthik,Rao,karthik.rao@company.com,HR,Talent Acquisition Specialist,L1,EMP_0050,Remote - India,68.27,4,2022-06-21,2023-10-16,False,Hire
89,EMP_0047,Karthik,Rao,karthik.rao@company.com,HR,Talent Acquisition Specialist,L2,EMP_0050,Remote - India,81.29,3,2023-10-17,2025-01-03,False,Promotion
90,EMP_0047,Karthik,Rao,karthik.rao@company.com,HR,Talent Acquisition Specialist,L3,EMP_0050,Remote - India,86.54,4,2025-01-04,,True,Promotion
91,EMP_0048,Vijay,Joshi,vijay.joshi@company.com,Marketing,SEO Executive,L1,EMP_0006,Bengaluru Office,16.02,2,2021-06-09,2022-06-18,False,Hire
92,EMP_0049,Deepika,Kulkarni,deepika.kulkarni@company.com,Finance,Financial Analyst,L1,EMP_0004,Remote - India,15.98,4,2021-08-15,,True,Hire
93,EMP_0050,Priyanka,Gowda,priyanka.gowda@company.com,Engineering,Senior Developer,L1,EMP_0037,Hubballi Office,50.73,4,2021-11-18,2022-05-21,False,Hire
94,EMP_0051,Kavitha,Gowda,kavitha.gowda@company.com,Customer Success,Support Engineer,L1,EMP_0040,Mumbai Office,31.89,5,2025-01-03,,True,Hire
95,EMP_0052,Kavitha,Kumbari,kavitha.kumbari@company.com,Engineering,Software Engineer,L1,EMP_0035,Mumbai Office,82.26,3,2022-09-06,2024-04-02,False,Hire
96,EMP_0052,Kavitha,Kumbari,kavitha.kumbari@company.com,Engineering,Software Engineer,L2,EMP_0035,Mumbai Office,89.9,3,2024-04-03,2025-05-04,False,Promotion
97,EMP_0052,Kavitha,Kumbari,kavitha.kumbari@company.com,Engineering,Software Engineer,L3,EMP_0035,Mumbai Office,99.0,4,2025-05-05,,True,Promotion
98,EMP_0053,Sandeep,Joshi,sandeep.joshi@company.com,HR,Talent Acquisition Specialist,L1,EMP_0001,Remote - India,76.21,2,2025-03-22,2026-02-28,False,Hire
99,EMP_0054,Anil,Shetty,anil.shetty@company.com,Engineering,Senior Developer,L1,EMP_0037,Mumbai Office,45.18,2,2022-01-04,2022-11-02,False,Hire
100,EMP_0054,Anil,Shetty,anil.shetty@company.com,Engineering,Senior Developer,L2,EMP_0037,Mumbai Office,56.54,3,2022-11-03,2023-10-11,False,Promotion
101,EMP_0054,Anil,Shetty,anil.shetty@company.com,Engineering,Senior Developer,L3,EMP_0037,Mumbai Office,66.15,2,2023-10-12,,True,Promotion
102,EMP_0055,Vijay,Kulkarni,vijay.kulkarni@company.com,Customer Success,CS Specialist,L1,EMP_0015,Remote - India,21.84,5,2023-10-11,2025-03-29,False,Hire
103,EMP_0055,Vijay,Kulkarni,vijay.kulkarni@company.com,Customer Success,CS Specialist,L2,EMP_0015,Remote - India,31.88,5,2025-03-30,,True,Promotion
104,EMP_0056,Sandeep,Kulkarni,sandeep.kulkarni@company.com,HR,HR Associate,L1,EMP_0030,Remote - India,15.96,3,2023-12-25,,True,Hire
105,EMP_0057,Priyanka,Joshi,priyanka.joshi@company.com,Engineering,Tech Lead,L1,EMP_0035,Hubballi Office,54.02,2,2023-09-09,2024-10-29,False,Hire
106,EMP_0057,Priyanka,Joshi,priyanka.joshi@company.com,Engineering,Tech Lead,L2,EMP_0035,Hubballi Office,67.31,2,2024-10-30,,True,Promotion
107,EMP_0058,Sandeep,Kumbari,sandeep.kumbari@company.com,Sales,Sales Manager,L1,EMP_0036,Remote - India,53.7,3,2022-12-17,2023-10-20,False,Hire
108,EMP_0058,Sandeep,Kumbari,sandeep.kumbari@company.com,Sales,Sales Manager,L2,EMP_0036,Remote - India,61.69,4,2023-10-21,,True,Promotion
109,EMP_0059,Karthik,Bhat,karthik.bhat@company.com,Finance,Accountant,L1,EMP_0043,Mumbai Office,93.31,5,2025-05-31,,True,Hire
110,EMP_0060,Priyanka,Gowda,priyanka.gowda@company.com,HR,Talent Acquisition Specialist,L1,EMP_0007,Mumbai Office,83.89,3,2023-06-27,,True,Hire
111,EMP_0061,Priyanka,Desai,priyanka.desai@company.com,Sales,Sales Manager,L1,EMP_0033,Hubballi Office,59.05,3,2023-06-12,2024-08-15,False,Hire
112,EMP_0061,Priyanka,Desai,priyanka.desai@company.com,Sales,Sales Manager,L2,EMP_0033,Hubballi Office,70.74,2,2024-08-16,2025-07-30,False,Promotion
113,EMP_0061,Priyanka,Desai,priyanka.desai@company.com,Sales,Sales Manager,L3,EMP_0033,Hubballi Office,78.56,2,2025-07-31,,True,Promotion
114,EMP_0062,Karthik,Shetty,karthik.shetty@company.com,HR,HR Associate,L1,EMP_0019,Hubballi Office,44.98,3,2024-12-24,2026-01-14,False,Hire
115,EMP_0062,Karthik,Shetty,karthik.shetty@company.com,HR,HR Associate,L2,EMP_0019,Hubballi Office,57.22,3,2026-01-15,,True,Promotion
116,EMP_0063,Sandeep,Gowda,sandeep.gowda@company.com,Sales,Business Development Rep,L1,EMP_0038,Remote - India,52.29,3,2022-04-16,2022-08-18,False,Hire
117,EMP_0064,Karthik,Rao,karthik.rao@company.com,HR,Talent Acquisition Specialist,L1,EMP_0020,Remote - India,71.15,3,2021-12-04,2023-06-07,False,Hire
118,EMP_0065,Karthik,Desai,karthik.desai@company.com,Marketing,SEO Executive,L1,EMP_0046,Bengaluru Office,51.68,2,2023-02-17,2024-06-13,False,Hire
119,EMP_0065,Karthik,Desai,karthik.desai@company.com,Marketing,SEO Executive,L2,EMP_0046,Bengaluru Office,65.15,3,2024-06-14,2025-08-12,False,Promotion
120,EMP_0065,Karthik,Desai,karthik.desai@company.com,Marketing,SEO Executive,L3,EMP_0046,Bengaluru Office,70.9,3,2025-08-13,,True,Promotion
121,EMP_0066,Deepika,Nayaka,deepika.nayaka@company.com,Customer Success,Support Engineer,L1,EMP_0008,Hubballi Office,69.89,5,2024-10-28,,True,Hire
122,EMP_0067,Shweta,Rao,shweta.rao@company.com,Engineering,Software Engineer,L1,EMP_0023,Bengaluru Office,92.07,2,2024-04-23,2025-04-27,False,Hire
123,EMP_0067,Shweta,Rao,shweta.rao@company.com,Engineering,Software Engineer,L2,EMP_0023,Bengaluru Office,99.0,1,2025-04-28,,True,Promotion
124,EMP_0068,Karthik,Kulkarni,karthik.kulkarni@company.com,Finance,Finance Controller,L1,EMP_0016,Bengaluru Office,26.11,3,2023-09-16,2024-11-15,False,Hire
125,EMP_0069,Shweta,Kulkarni,shweta.kulkarni@company.com,Marketing,Content Specialist,L1,EMP_0034,Bengaluru Office,82.95,5,2022-03-31,2024-03-15,False,Hire
126,EMP_0070,Karthik,Joshi,karthik.joshi@company.com,Customer Success,CS Manager,L1,EMP_0027,Remote - India,27.06,4,2023-03-31,2024-06-28,False,Hire
127,EMP_0070,Karthik,Joshi,karthik.joshi@company.com,Customer Success,CS Manager,L2,EMP_0027,Remote - India,42.01,4,2024-06-29,2025-11-08,False,Promotion
128,EMP_0070,Karthik,Joshi,karthik.joshi@company.com,Customer Success,CS Manager,L3,EMP_0027,Remote - India,56.93,3,2025-11-09,,True,Promotion
129,EMP_0071,Karthik,Kulkarni,karthik.kulkarni@company.com,Engineering,Senior Developer,L1,EMP_0020,Mumbai Office,48.12,5,2021-07-03,2022-11-20,False,Hire
130,EMP_0072,Karthik,Bhat,karthik.bhat@company.com,Sales,Business Development Rep,L1,EMP_0020,Mumbai Office,26.08,4,2023-06-08,,True,Hire
131,EMP_0073,Kavitha,Desai,kavitha.desai@company.com,Marketing,SEO Executive,L1,EMP_0008,Mumbai Office,23.08,3,2025-01-09,2026-01-11,False,Hire
132,EMP_0073,Kavitha,Desai,kavitha.desai@company.com,Marketing,SEO Executive,L2,EMP_0008,Mumbai Office,36.94,4,2026-01-12,2027-07-10,False,Promotion
133,EMP_0073,Kavitha,Desai,kavitha.desai@company.com,Marketing,SEO Executive,L3,EMP_0008,Mumbai Office,44.05,5,2027-07-11,,True,Promotion
134,EMP_0074,Manjunath,Kulkarni,manjunath.kulkarni@company.com,Marketing,Marketing Manager,L1,EMP_0044,Bengaluru Office,15.28,4,2025-04-14,2026-04-17,False,Hire
135,EMP_0075,Shweta,Nayaka,shweta.nayaka@company.com,Finance,Financial Analyst,L1,EMP_0017,Mumbai Office,23.34,5,2022-09-29,2024-05-11,False,Hire
136,EMP_0076,Roopa,Rao,roopa.rao@company.com,HR,HR Associate,L1,EMP_0031,Hubballi Office,57.12,4,2021-08-09,2022-06-12,False,Hire
137,EMP_0077,Priyanka,Rao,priyanka.rao@company.com,Finance,Financial Analyst,L1,EMP_0034,Mumbai Office,73.75,2,2024-06-09,,True,Hire
138,EMP_0078,Roopa,Nayaka,roopa.nayaka@company.com,Sales,Account Executive,L1,EMP_0029,Remote - India,32.84,2,2024-10-15,2025-09-13,False,Hire
139,EMP_0078,Roopa,Nayaka,roopa.nayaka@company.com,Sales,Account Executive,L2,EMP_0029,Remote - India,45.58,2,2025-09-14,,True,Promotion
140,EMP_0079,Kavitha,Bhat,kavitha.bhat@company.com,Finance,Finance Controller,L1,EMP_0019,Hubballi Office,68.3,3,2022-06-07,2023-08-17,False,Hire
141,EMP_0080,Kavitha,Gowda,kavitha.gowda@company.com,Marketing,Content Specialist,L1,EMP_0024,Remote - India,81.14,3,2023-08-20,,True,Hire
142,EMP_0081,Vijay,Bhat,vijay.bhat@company.com,Finance,Finance Controller,L1,EMP_0041,Remote - India,93.13,2,2022-02-18,2023-10-31,False,Hire
143,EMP_0082,Shweta,Kulkarni,shweta.kulkarni@company.com,Customer Success,Support Engineer,L1,EMP_0001,Hubballi Office,23.28,3,2022-04-16,2024-06-17,False,Hire
144,EMP_0083,Karthik,Kulkarni,karthik.kulkarni@company.com,Sales,Sales Manager,L1,EMP_0036,Remote - India,69.29,5,2021-08-29,2023-01-09,False,Hire
145,EMP_0083,Karthik,Kulkarni,karthik.kulkarni@company.com,Sales,Sales Manager,L2,EMP_0036,Remote - India,81.71,5,2023-01-10,2024-07-15,False,Promotion
146,EMP_0083,Karthik,Kulkarni,karthik.kulkarni@company.com,Sales,Sales Manager,L3,EMP_0036,Remote - India,92.5,5,2024-07-16,,True,Promotion
147,EMP_0084,Karthik,Joshi,karthik.joshi@company.com,Customer Success,CS Specialist,L1,EMP_0005,Mumbai Office,30.4,5,2024-08-13,2025-06-24,False,Hire
148,EMP_0084,Karthik,Joshi,karthik.joshi@company.com,Customer Success,CS Specialist,L2,EMP_0005,Mumbai Office,41.0,4,2025-06-25,,True,Promotion
149,EMP_0085,Anil,Gowda,anil.gowda@company.com,HR,HR Business Partner,L1,EMP_0019,Bengaluru Office,33.67,4,2025-04-13,2026-07-14,False,Hire
150,EMP_0085,Anil,Gowda,anil.gowda@company.com,HR,HR Business Partner,L2,EMP_0019,Bengaluru Office,44.74,3,2026-07-15,2027-08-31,False,Promotion
151,EMP_0085,Anil,Gowda,anil.gowda@company.com,HR,HR Business Partner,L3,EMP_0019,Bengaluru Office,56.95,3,2027-09-01,,True,Promotion
152,EMP_0086,Anil,Rao,anil.rao@company.com,Customer Success,Support Engineer,L1,EMP_0014,Bengaluru Office,92.97,3,2025-01-25,2026-07-21,False,Hire
153,EMP_0086,Anil,Rao,anil.rao@company.com,Customer Success,Support Engineer,L2,EMP_0014,Bengaluru Office,99.0,4,2026-07-22,,True,Promotion
154,EMP_0087,Sandeep,Kumbari,sandeep.kumbari@company.com,Customer Success,Support Engineer,L1,EMP_0028,Remote - India,36.59,5,2025-05-09,2025-12-20,False,Hire
155,EMP_0088,Deepika,Joshi,deepika.joshi@company.com,Marketing,SEO Executive,L1,EMP_0041,Remote - India,43.7,5,2024-11-30,2026-03-05,False,Hire
156,EMP_0089,Anil,Shetty,anil.shetty@company.com,Sales,Sales Manager,L1,EMP_0031,Remote - India,82.94,5,2023-12-26,,True,Hire
157,EMP_0090,Vijay,Bhat,vijay.bhat@company.com,Marketing,Content Specialist,L1,EMP_0005,Hubballi Office,49.3,3,2022-07-02,,True,Hire
158,EMP_0091,Anil,Kumbari,anil.kumbari@company.com,Sales,Business Development Rep,L1,EMP_0039,Remote - India,44.91,2,2025-06-30,,True,Hire
159,EMP_0092,Sandeep,Kulkarni,sandeep.kulkarni@company.com,Marketing,Content Specialist,L1,EMP_0026,Bengaluru Office,69.58,3,2023-10-19,2024-05-23,False,Hire
160,EMP_0093,Deepika,Kulkarni,deepika.kulkarni@company.com,Marketing,Marketing Manager,L1,EMP_0035,Remote - India,46.14,4,2025-05-12,2026-12-29,False,Hire
161,EMP_0093,Deepika,Kulkarni,deepika.kulkarni@company.com,Marketing,Marketing Manager,L2,EMP_0035,Remote - India,51.97,4,2026-12-30,,True,Promotion
162,EMP_0094,Vijay,Shetty,vijay.shetty@company.com,Finance,Financial Analyst,L1,EMP_0019,Remote - India,88.73,2,2022-05-22,2023-12-18,False,Hire
